,brand,ahri_num,zones,outdoor_model,indoor_model,hspf,in_pwr_5F_max,capacity_5F_max,in_pwr_47F_min,cop_5F_max,cop_17F_max,cop_47F_max
1196,Tempstar,201835765,Single,DLCSRAH12AAJ,DLFSHAH12XAJ,11.0,1.1373379293450685,7800.0,0.17,2.0099165665884,2.3332965957692298,3.508635894112149
1197,Tempstar,201835814,Single,DLCSRAH24AAK,DLFSDAH24XAK,12.0,4.55569796,30000.0,0.458,1.92991989,1.98427017,3.13949989
1198,Carrier,6960758,Single,RAS-09EAV-UL,RAS-09EKV-UL,10.0,0.895,6519.0,0.17,2.13,2.69,3.42
1199,Carrier,6960762,Single,RAS-15EAV-UL,RAS-15EKV-UL,10.0,1.215,8752.0,0.143,2.11,2.6,3.32
1200,Carrier,6960764,Single,RAS-17EAV-UL,RAS-17EKV-UL,10.0,1.221,8572.0,0.15,2.06,2.59,3.3
1201,Trane/Mitsubishi Electric,202102774,Single,MUFZ-KJ09NAHZ,MFZ-KJ09NA,13.0,1.6,11000.0,0.27,2.01,2.11,2.35
1202,Trane/Mitsubishi Electric,202102775,Single,MUFZ-KJ12NAHZ,MFZ-KJ12NA,12.0,1.81,13000.0,0.27,2.1,2.29,2.8
1203,Trane/Mitsubishi Electric,202102776,Single,MUFZ-KJ15NAHZ,MFZ-KJ15NA,11.6,2.83,18000.0,0.7,1.8640562756183747,1.928099144736842,2.1486148826979474
1204,Trane/Mitsubishi Electric,202102777,Single,MUFZ-KJ18NAHZ,MFZ-KJ18NA,11.3,3.0,21000.0,0.48,2.05,2.1,2.48
1205,Trane/Mitsubishi Electric,202102780,Single,MUZ-FH06NA,MSZ-FH06NA,13.5,0.91,8700.0,0.11,2.8,3.13,3.23
1206,Trane/Mitsubishi Electric,202102781,Single,MUZ-FH06NAH,MSZ-FH06NAH,12.5,1.04,8700.0,0.11,2.45,2.78,3.23
1207,Trane/Mitsubishi Electric,202102782,Single,MUZ-FH09NA,MSZ-FH09NA,13.5,1.35,10900.0,0.11,2.32,2.48,3.59
1208,Trane/Mitsubishi Electric,202102783,Single,MUZ-FH09NAH,MSZ-FH09NAH,12.5,1.17,10900.0,0.11,2.73,2.84,4.15
1209,Trane/Mitsubishi Electric,202102784,Single,MUZ-FH12NA,MSZ-FH12NA,12.5,1.8,13600.0,0.28,2.21,2.1,2.68
1210,Trane/Mitsubishi Electric,202102785,Single,MUZ-FH12NAH,MSZ-FH12NAH,11.5,1.93,13600.0,0.28,2.07,1.96,2.68
1211,Trane/Mitsubishi Electric,202102786,Single,MUZ-FH15NA,MSZ-FH15NA,12.0,2.95,18000.0,0.43,1.79,2.13,2.09
